,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,state,city
4,51498,Guest House With Its Own Entrance/Exit and Hot Tub,236758,Bay,City of Los Angeles,Mar Vista,34.00389,-118.44126,Entire home/apt,189,3,378,2022-08-21,2.6,1,348,41,HSR19-001336,CA,Los Angeles
7,2732,Zen Life at the Beach,3041,Yoga Priestess,Other Cities,Santa Monica,34.0044,-118.48095,Private room,179,7,24,2022-08-21,0.17,2,323,3,228269,CA,Los Angeles
11,187526,Malibu Pacific Ocean View Room 1,215462,Paul,Other Cities,Malibu,34.03073,-118.75513,Private room,350,2,196,2022-08-24,1.58,4,365,14,Exempt,CA,Los Angeles
15,5728,Tiny Home in Artistic Oasis near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,50,30,314,2022-05-31,1.96,3,48,2,HSR19-002149,CA,Los Angeles
17,5729,Zen Room with Floating Bed near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,65,30,238,2022-07-28,1.5,3,77,6,HSR19-002149,CA,Los Angeles
20,61153,Hollywood  Hills Bedroom,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.10998,-118.38152,Private room,71,30,9,2021-08-22,0.09,4,365,0,HSR19-004287,CA,Los Angeles
25,195229,"Great West L.A. location, near much",393829,Debra,City of Los Angeles,Mar Vista,34.02035,-118.43428,Private room,147,30,38,2022-04-23,0.31,1,365,7,HSR21-001488,CA,Los Angeles
26,63416,VIEWS! HOLLYWOOD SIGN - DOWNTOWN #1,309512,Vincenzo,City of Los Angeles,Hollywood Hills,34.11344,-118.32399,Private room,150,2,130,2022-07-11,0.91,3,330,16,HSR21-000113,CA,Los Angeles
27,7992,Quiet/Cozy/Clean/Walkable Quaint Area,22363,Tom,City of Los Angeles,Atwater Village,34.11364,-118.26068,Entire home/apt,100,31,269,2022-08-07,2.04,2,129,24,HSR19-003514,CA,Los Angeles
43,69838,L.A. Lifestyle--like you live here,351521,Georgia,City of Los Angeles,Mid-City,34.03833,-118.33662,Private room,109,2,661,2022-09-06,4.72,1,279,55,HSR21-001664,CA,Los Angeles
44,74770,Spacious Upstairs Studio Near Lake Balboa Park,394279,Zeev,City of Los Angeles,Encino,34.18177,-118.52621,Entire home/apt,119,2,170,2022-09-04,1.21,3,262,34,HSR19-003866,CA,Los Angeles
45,210489,3br 3ba townhome near Beverly Hills,76111,Joy,City of Los Angeles,Pico-Robertson,34.05303,-118.39449,Entire home/apt,340,31,14,2019-08-22,0.14,2,267,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
47,14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",55411,Hank,City of Los Angeles,Hollywood Hills,34.11834,-118.31997,Entire home/apt,363,5,36,2022-06-19,0.26,10,60,4,HSR19-003021,CA,Los Angeles
48,212036,Guest House: North Hollywood/Universal,1093111,Nancy,City of Los Angeles,Sun Valley,34.22532,-118.39592,Entire home/apt,99,30,157,2020-08-24,1.39,2,365,0,HSR19-004622,CA,Los Angeles
53,15089,***The Cottage at Casa Redondo & Rabbit Sanctuary,59169,Josh,City of Los Angeles,Mid-City,34.04244,-118.3522,Entire home/apt,185,4,86,2022-08-29,0.55,3,324,19,HSR19-000600,CA,Los Angeles
55,15333,The Enchanted Manor-Private Oasis,60057,Georgia,City of Los Angeles,Valley Village,34.16614532470703,-118.4123764038086,Entire home/apt,504,2,9,2022-09-05,0.12,2,333,3,HSR19-000906,CA,Los Angeles
56,79832,Guest Quarters @ the Hollywood Sign,28569,Robert,City of Los Angeles,Hollywood Hills,34.12801,-118.31919,Entire home/apt,110,30,484,2021-01-18,3.46,1,335,0,HSR19-002716,CA,Los Angeles
58,80714,Cozy secluded Guesthouse in Garden,436647,Cari,City of Los Angeles,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,119,30,185,2022-02-01,1.32,1,296,2,HSR19-003488,CA,Los Angeles
